latitude, longtitude, altitude, x, y, z
35.8595648108, -108.23696838, 63.2136234514, -7.92157850249, 14.9034017903, -0.775640566182
35.8595459119, -108.237054122, 64.1037010298, -15.8875136029, 14.8678866343, 0.135467261382
35.8595284939, -108.237103075, 65.1919421405, -20.7395649287, 14.2896498403, 1.17059698737
35.8595131453, -108.237153405, 66.2787131134, -25.5577388007, 13.8960775677, 2.30087685842
35.8594955942, -108.237216356, 67.2300713477, -31.5410430114, 13.5119731353, 3.24951742922 
35.8594689685, -108.237287605, 68.7624937797, -38.541730378, 12.5526091864, 4.796825731
35.8594372035, -108.237366433, 70.4295593631, -46.3749252158, 11.100201182, 6.44322427189
35.859388941, -108.237478736, 73.1679129556, -57.6222599234, 8.73877768197, 9.19802266401
35.8594748814, -108.236741112, 62.2777303949, 9.06714726235, -0.390669919053, -1.73910906227
35.8594903339, -108.236670451, 62.8715856095, 15.6463398224, -0.574049216329, -1.10707818009
35.8595038764, -108.23661585, 62.2048694994, 20.9101938366, -0.491541671921, -1.7793402513
35.8595168757, -108.236555506, 61.4349988469, 26.5539134006, -0.430226615354, -2.54143752009
35.8595399163, -108.236450809, 61.1919557176, 36.2794336495, -0.662059574796, -2.80967049823
35.8595121441, -108.236832643, 62.4472124347, 2.26627413991, 5.85881536361, -1.55541755632
35.8595514831, -108.236846515, 62.5184967876, 2.24524294552, 10.4713020328, -1.50722168712
35.8595978359, -108.236862135, 62.5986980834, 2.31723675571, 15.6857134222, -1.44239244971
35.8596437108, -108.236877908, 62.7423307079, 2.29227301834, 20.9841714032, -1.27678784455
35.8596826156, -108.236896824, 63.2880588432, 1.90719216416, 25.6374651366, -0.69526409029
35.8597257393, -108.236913479, 64.1484113026, 1.78522083905, 30.6208801743, 0.146915487044
35.8597706656, -108.236923548, 65.1909718981, 2.26945716945, 35.6748598675, 1.15519241215
35.8598163071, -108.236931898, 66.1485339179, 2.96820719903, 40.7256513252, 2.1457327436
35.8599018448, -108.236959145, 67.7148286793, 3.22462473183, 50.6140449747, 3.72628909806
35.8594146709, -108.236806397, 62.3796435788, 1.55094887211, -5.13858633344, -1.59058129998
35.8593746324, -108.236769373, 62.6163929064, 3.61333010666, -10.4257648581, -1.39243001684
35.8593362659, -108.236724024, 64.046954805, 6.3430671534, -15.6342575485, 0.0551645180007
35.8592728717, -108.236676564, 67.2592150564, 8.46953378451, -23.6248773625, 3.21980593511
35.8592197203, -108.236619802, 66.611365977, 11.815302393, -30.6681351851, 2.69146338599
35.8591788366, -108.236557442, 64.0710393608, 15.9161664823, -36.4238338833, 0.133181470122
35.8590461265, -108.236907006, 61.8672439072, -18.4515110413, -41.9874190418, -2.1737421341





